Review	Score
but with soul survivors , i'm so full of critical rage that this review is liable to turn into a venomous , uncontrollable rant , obligations damned .when sagemiller and dushku dance together at a club , he rarely shows them in a full shot and he never keeps the camera on them for longer than a second before relating to some michael bay-style quick cuts .bottom line : soul survivors is so awful i feel compelled to knock on doors and warn people about it .	0
you can watch this movie , that is based on a sci-fi work by robert heinlein , either as a straight gung-ho war film , or you can see it mostly as a spoof .i guess the film is set in the future , but it sure looks like the present to me despite all the computer graphics , as it makes use of its astronomical budget to become solely a computerized special effect movie , that should endear itself to the mtv generation .after awhile , all the performers looked alike to me , but i wouldn't be doing my duty as a movie reviewer , if i should fail to point out that there is some kind of melodramatic love story going down among the four stars of the film , rico ( casper van dien ) , the school football hero , loves carmen ( denise richards ) , the school beauty and math brain , who is set on becoming a pilot , which is the reason rico joins the military .	0
this is asking a lot to believe , and though it is possible , it would have been more possible to believe if quentin possessed some charm or something about him that would give us a clue that he was such a good catch , because he sure couldn't act , and since he is the focal point of all the attention , able to have his way with either men or women , we should also have felt this electricity generated on screen , instead of being forced fed by the director into believing something was happening when we couldn't see it .i'm afraid i don't have the answer , since i can't find a thing about this relationship or this movie that kept me tuned into it , as i tended to drift out of the story somewhere in the middle , and just watched for the street scenes of paris in the background , which i found to be more pleasurable viewing than the movie itself , even more erotic than the unerotic love scenes between the lovers , and this is being said by a big fan of isabelle huppert , who is usually quite engaging in the various roles she has played during her long career , but here it is embarrassing for me to watch her vacuous performance .there is one line from the film that summed up how i really felt about what i was seeing , when at a fashion party for dominque's wealthy parisian fashion clients , quentin tells her , " seeing all these rich people makes me want to puke . "	0
he tries every bit he could muster from the lore of gangster and screwball comedies , to make this film work , but still misses by a city mile .the plot has its twists and turns , and it would serve no purpose telling you about it , since the heart of the film , is about the surprises and corpses it delivers .since the film's humor didn't suit me and i grew tired of seeing so many characters try to fit into such a small movie , with all of them being a composite of a boring and motley crew of stereotypes ; and , the violence didn't particularly appeal to me , either , leaving me squirming in my seat with displeasure .	0
it is perfect for the mall , where teenagers experiencing brain drains can feel good about being mindless and not have to apologize that this is an american film , about that old cliche of young lovers relentlessly on the run .though it would have been good comedic dialogue to have the two leads , lola ( franka potente ) and manni ( moritz bleibtreu ) , try to resolve these deep philosophical questions .what does take place is a soccer ball being kicked to open the action in the film , as the movie is supposed to be like a game , with the director making up the rules as he goes along .	0
the story gets too ridiculous at this point to even be satirical or credible , it is just bad filmmaking ; but it does try in its unclear and scrambled way to blame the media and the rich people who control it , for not being risk takers and offering fresh arguments into the political fray .the fault of the film , is that beatty can't gracefully pull off what he is trying to accomplish without appearing to be smug about it , like he's the white man who knows best what to do , and that anything he does is super cool because he really cares about the blacks and the poor ( sic ) .just when i thought wag the dog was the stupidest political comedy i ever saw , along comes this sophomoric venture , showing no plausible way of replacing the old lies of senator bulworth with his new so-called truths , and as a result it is a film that out wags the dog's tail in silliness and prattle , unable to have the demented bulworth say what he would do when elected , except what is implied , that the people will trust him because he's so hip and daring , and he's just so with it .	0
for the first 30 minutes or so i felt i was stuck in a detention classroom for dummies ( ah !if the film was funny or its technology was more interesting , or if the killings weren't so melodramatic , and the acting not so staid , and the patriotic jingoism wasn't so shrill , i might have found this film bearable .but since that wasn't the case , i found the film to be an academic bore .	0
he never asked the muse to inspire him to write a great classic , only for some " summer script " he can sell to the studios as a blockbuster movie .that dumbness prevails , and he comes up with a lame idea for a film in which he wants to have jim carrey star in , is supposed to be his way of saying that hollywood doesn't know what's good from what's crap , or doesn't care .to have a satire with nothing to dig into is unfortunate , as brooks chose to go for his laughs by having his character be a whiner , grousing about the demands of his muse , the attention she gives to his wife instead of him , how steven spielberg snubbed him , and how cruel it is to be in hollywood if you are a creative person .	0
the kid plays his part like he's a lump of coal and the sex is so uninviting , making it seem just as boring as watching paint dry on a wall .the sadistic games are better delivered now with the presence of helen , but the menage a trois doesn't have the nuances , wit , or actors to pull off the macabre effects it was trying desperately to get away with .it was just a dull , exploitive movie , distinguished only by the fine performance of a good actor , pete postlethwaite , who was overwhelmed by being in such a trying film .	0
but that's not to say that the film was so terrible that it can't be seen , that would not be true , since it is not so bad as it is a case of it being so dull that it negates any enjoyment value .but what was really laughable , was the filmmaker's bourgeois conception of what a bohemian is .the film was able to muster one great line of dialogue , and it comes from marion , as she tells her hapless hubby , " you will get married because you are not original enough not to . "	0
